mun,gender,age,education,random_order,cand_pref_cl_proga,cand_pref_cl_progb,random_list,list_treated,list_response,direct_clientelism,rnd_other,other_cards_A,Primed,Constitution_Reform_Support
230440,male,43,medio,0.811628154,,b,0.868289058,1,1,1,7,b,0,1
230440,female,51,complete_univ,0.918654274,,b,0.937145408,1,2,NA,5,b,1,0
230440,male,62,incomplete_medio,0.703688465,,a,0.338314764,0,1,0,4,b,1,0
230440,female,58,medio,0.452744193,a,,0.852480195,1,3,0,3,a,0,1
230440,male,33,incomplete_univ,0.137689282,a,,0.207963753,0,2,0,6,b,0,1
230440,female,60,incomplete_fund,0.085642029,b,,0.564165724,1,1,1,3,b,1,1
230440,female,49,incomplete_fund,0.979686434,,b,0.110585877,0,1,1,4,a,0,1
230440,male,48,incomplete_fund,0.219600376,b,,0.048110026,0,1,0,6,b,0,1
230440,female,56,fund,0.909175949,,b,0.141532693,0,1,0,3,a,0,0
230440,female,73,incomplete_fund,0.146235817,b,,0.627654553,1,1,1,7,a,0,0
230440,female,43,incomplete_fund,0.011962836,a,,0.736133976,1,1,0,3,a,0,1
230440,female,47,fund,0.436184107,b,,0.313721466,0,2,1,4,b,1,1
230440,female,63,medio,0.819447955,,b,0.682907897,1,1,0,3,a,0,1
230440,male,60,incomplete_fund,0.738601964,,b,0.851269816,1,2,0,7,b,1,1
230440,female,30,medio,0.NA463264762355,,b,0.866111927,1,1,0,3,a,0,0
230440,female,52,incomplete_fund,0.717042072,,b,0.01482092,0,1,1,7,a,0,1
230440,female,20,incomplete_medio,0.304793424,a,,0.261722553,0,1,0,6,a,1,1
230440,female,27,medio,0.651495945,,b,0.225151988,0,2,0,8,a,1,1
230440,female,43,incomplete_fund,0.383663938,a,,0.102452682,0,1,0,7,a,1,0
230440,male,67,incomplete_fund,0.721506256,,dont_know,0.602541169,1,2,0,3,b,0,1
230440,male,25,incomplete_medio,0.532628303,,b,0.219603306,0,0,0,6,a,0,0
230440,male,52,incomplete_fund,0.816978821,,b,0.229059209,0,1,0,3,b,0,0
230440,female,39,incomplete_medio,0.228968662,a,,0.317090138,0,0,0,3,b,0,1
230440,female,18,fund,0.112680306,a,,0.50677581,1,2,0,8,b,0,1
230440,male,47,incomplete_fund,0.718458128,,b,0.344505438,0,1,0,6,b,1,1
230440,female,41,incomplete_fund,0.060261493,b,,0.739672054,1,3,0,7,a,0,1
230440,male,24,medio,0.942946545,,b,0.940783615,1,1,1,7,b,1,1
230440,female,75,incomplete_fund,0.967170621,,b,0.498274977,0,3,0,8,b,1,1
230440,female,33,medio,0.694782451,,b,0.276029512,0,2,0,5,a,0,0
230440,female,39,fund,0.763174583,,b,0.4923035,0,1,0,8,a,1,1
230440,female,66,incomplete_fund,0.928944306,,b,0.084818443,0,1,0,4,b,0,1
230440,male,43,medio,0.682319987,,b,0.631340242,1,1,0,3,a,0,0
230440,male,23,complete_univ,0.262312674,a,,0.004589353,0,0,0,3,a,0,1
230440,female,50,medio,0.712853783,,b,0.968598NA222173,1,2,0,4,a,0,0
230440,female,68,incomplete_fund,0.77472771,,b,0.028523115,0,1,0,8,a,0,0
230440,male,47,fund,0.140960523,b,,0.874311205,1,1,0,4,a,1,1
230440,female,34,fund,0.759765312,,a,0.50721512,1,1,NA,7,b,1,1
230440,female,42,incomplete_fund,0.59629895,,a,0.449803967,0,1,0,4,a,1,1
230440,female,46,incomplete_fund,0.104690003,a,,0.237539342,0,1,0,7,a,1,1
230440,female,40,incomplete_fund,0.900513572,,b,0.968533722,1,2,1,5,a,1,1
230440,female,25,incomplete_fund,0.771347869,,a,0.385140578,0,1,0,7,a,0,0
230440,female,30,fund,0.590891884,,b,0.044523002,0,1,0,5,b,1,0
230440,female,33,incomplete_univ,0.886369373,,b,0.899370792,1,1,0,6,a,0,0
230440,male,28,fund,0.10NA6319381808,a,,0.90076058,1,2,0,3,a,0,1
230440,male,27,medio,0.432185587,a,,0.367118834,0,1,0,4,a,1,1
230440,female,58,no_educ,0.066148408,a,,0.164172065,0,0,0,4,dont_know,0,0
230440,female,18,medio,0.513479845,,b,0.658477433,1,0,0,4,b,1,0
230440,female,46,incomplete_fund,0.469527297,a,,0.217400058,0,1,0,5,a,0,1
230440,female,40,incomplete_fund,0.376560023,a,,0.189549556,0,1,NA,5,b,0,1
230440,female,31,incomplete_medio,0.43214566,a,,0.380067765,0,1,0,4,a,1,1
230440,male,58,incomplete_fund,0.785251222,,b,0.137928138,0,1,0,8,b,0,1
230440,female,32,medio,0.934693691,,b,0.123038819,0,0,0,6,b,1,1
230440,female,31,medio,0.025815461,b,,0.278457754,0,1,1,6,a,0,0
230440,female,24,fund,0.351044996,a,,0.51149547,1,1,0,7,a,0,0
230440,female,32,incomplete_medio,0.315823445,a,,0.015000968,0,1,0,7,a,1,1
230440,male,46,incomplete_fund,0.850606375,,b,0.287634529,0,1,0,4,a,1,0
230440,female,31,medio,0.660483075,,b,0.137918697,0,1,0,4,a,0,0
230440,male,33,medio,0.880183708,,b,0.247670929,0,1,NA,8,a,0,0
230440,female,39,incomplete_medio,0.687797636,,dont_know,0.083725727,0,1,0,5,a,0,0
230440,female,29,incomplete_medio,0.764443374,,b,0.714043663,1,1,0,5,b,0,1
230440,female,44,incomplete_fund,0.90370233,,a,0.883306236,1,1,1,8,b,0,0
230440,female,60,incomplete_fund,0.860727002,,b,0.035289447,0,2,NA,8,b,1,1
230440,male,30,medio,0.957717872,,b,0.435357833,0,2,NA,8,a,1,1
230440,female,64,incomplete_medio,0.282966611,b,,0.356556997,0,2,1,5,b,0,1
230440,male,48,incomplete_fund,0.396499563,b,,0.387051113,0,2,NA,3,b,0,1
230440,male,33,medio,0.141321668,b,,0.104779448,0,2,0,5,a,1,1
230440,female,39,incomplete_fund,0.586204482,,a,0.322693561,0,2,NA,4,a,0,1
230350,female,36,incomplete_fund,0.278124454,b,,0.675638209,1,1,0,2,b,1,0
230350,female,57,incomplete_fund,0.675884556,,b,0.78455343,1,1,0,1,b,0,0
230350,male,29,medio,0.599893928,,b,0.578573452,1,2,1,6,a,0,1
230350,female,33,incomplete_fund,0.104008145,a,,0.298864732,0,1,0,2,a,1,1
230350,female,65,medio,0.456865062,a,,0.162319724,0,2,0,2,a,1,1
230350,female,53,incomplete_fund,0.721143465,,b,0.850954494,1,1,0,5,a,0,1
230350,male,30,fund,0.998937434,,b,0.276934939,0,2,0,2,b,0,1
230350,female,28,incomplete_univ,0.911994511,,b,0.557626178,1,2,0,1,b,1,1
230350,female,27,fund,0.136288903,b,,0.589763675,1,0,0,5,a,0,1
230350,female,22,medio,0.108934863,a,,0.80649403,1,1,0,1,b,1,1
230350,female,20,medio,0.295167775,a,,0.605940717,1,1,0,6,a,0,0
230350,female,46,no_educ,0.447393099,a,,0.11354053,0,1,NA,1,a,0,1
230350,female,21,medio,0.014143458,b,,0.037293657,0,2,0,3,a,0,1
230350,female,24,incomplete_fund,0.214781125,a,,0.069709783,0,0,0,1,a,1,0
230350,male,60,no_educ,0.93777849,,a,0.045476581,0,0,0,1,a,1,1
230350,male,66,incomplete_fund,0.433651755,dont_know,,0.796538546,1,1,1,2,b,0,0
230350,female,40,incomplete_fund,0.877477778,,b,0.43319004,0,2,1,2,b,1,1
230350,female,33,incomplete_fund,0.721037066,,a,0.9904260782NA1,1,1,0,5,a,0,1
230350,female,66,no_educ,0.24042034,a,,0.664027058,1,0,0,1,a,0,1
230350,female,33,fund,0.293835807,a,,0.887744081,1,2,0,3,a,0,1
230350,female,56,no_educ,0.383266314,a,,0.185961164,0,1,0,3,a,0,0
230350,female,66,no_educ,0.435300357,b,,0.349576414,0,1,1,4,b,0,1
230350,female,26,incomplete_fund,0.787418294,,b,0.249018072,0,2,1,4,b,1,0
230350,female,44,medio,0.393073577,a,,0.632352852,1,3,0,5,a,1,0
230350,female,28,medio,0.343436494,a,,0.326042605,0,2,0,4,a,0,0
230350,male,20,fund,0.2881NA06509502,b,,0.02425631,0,1,0,1,b,1,0
230350,female,32,incomplete_fund,0.12426266,a,,0.136628012,0,2,0,5,b,0,1
230350,male,24,incomplete_fund,0.202205009,a,,0.583731553,1,3,1,5,a,0,1
230350,female,49,incomplete_fund,0.80057087,,b,0.539315401,1,1,NA,4,a,1,0
230350,female,48,incomplete_fund,0.271116033,b,,0.244618628,0,1,NA,2,a,1,0
230350,female,63,fund,0.340647562,a,,0.207368556,0,1,1,3,a,1,0
230350,female,43,incomplete_fund,0.248785879,a,,0.576870331,1,2,0,3,b,1,1
230350,female,47,no_educ,0.711012739,,dont_know,0.39750404,0,1,1,23,dont_know,0,1
230350,female,48,no_educ,0.614858673,,b,0.1584259,0,1,1,1,a,0,0
230350,female,38,fund,0.456704071,a,,0.828187939,1,1,0,5,a,1,1
230350,female,61,no_educ,0.447452168,a,,0.055117997,0,0,0,3,a,1,0
230350,female,35,incomplete_fund,0.764833459,,b,0.002404421,0,1,NA,3,a,0,1
230350,female,44,incomplete_fund,0.251432503,dont_know,,0.108697982,0,1,0,5,dont_know,0,0
230350,female,36,fund,0.214940985,a,,0.867973339,1,0,0,1,b,0,0
230350,female,43,incomplete_fund,0.481832936,b,,0.65768133,1,1,0,2,a,1,1
230350,female,21,medio,0.227359554,b,,0.17539646,0,0,0,5,b,1,0
230350,female,57,incomplete_fund,0.061NA26NA19352,dont_know,,0.906942606,1,2,0,4,b,0,1
230350,female,37,medio,0.494336178,a,,0.522896,1,1,0,3,a,0,1
230350,female,37,medio,0.672297235,,b,0.448399731,0,2,0,3,b,0,1
230350,female,61,incomplete_fund,0.571748675,,b,0.78432104,1,1,NA,1,a,1,0
230350,male,19,fund,0.754864884,,b,0.951460031,1,2,NA,4,a,0,1
230350,female,73,no_educ,0.170636338,b,,0.35063711,0,1,1,4,a,0,1
230350,female,45,incomplete_medio,0.98844261,,b,0.345589813,0,1,0,1,b,0,0
230350,female,18,medio,0.072850355,b,,0.NA692784169303,1,0,NA,2,a,0,1
230350,female,77,no_educ,0.324703699,b,,0.054439717,0,0,NA,1,b,1,0
230350,female,75,no_educ,0.387577829,b,,0.992207149,1,0,NA,3,a,0,1
230350,female,66,fund,0.674923305,,dont_know,0.130421006,0,1,0,6,dont_know,1,0
230350,female,53,medio,0.299719119,a,,0.307490524,0,1,0,3,a,0,1
230350,female,61,medio,0.417267952,a,,0.732705622,1,1,0,4,a,0,0
230350,male,19,medio,0.237238255,a,,0.902915894,1,2,0,2,b,0,1
230350,female,65,incomplete_fund,0.096683338,b,,0.521451308,1,2,0,1,a,0,1
230350,female,35,medio,0.21992971,b,,0.642528184,1,1,0,6,a,1,1
230350,female,30,medio,0.471505149,b,,0.79553924,1,2,0,1,b,0,0
230350,male,74,no_educ,0.885267257,,dont_know,0.72323254,1,3,0,2,b,1,0
230350,male,52,incomplete_medio,0.579280032,,a,0.898945603,1,4,0,6,a,0,1
230350,female,45,incomplete_fund,0.556475502,,a,0.511468184,1,1,0,4,b,0,0
230350,female,39,medio,0.862247157,,b,0.771494692,1,2,0,6,a,1,0
230350,female,37,medio,0.120549471,a,,0.975041131,1,3,1,5,b,1,0
230350,female,55,incomplete_fund,0.537268879,,b,0.819862266,1,1,0,3,a,0,1
230440,female,51,no_educ,0.444320065,a,,0.153126786,0,1,0,7,a,0,1
230110,female,29,incomplete_fund,0.013288645,b,,0.091022245,0,1,0,5,b,1,1
230110,female,53,incomplete_fund,0.928022471,,b,0.987179979,1,1,0,1,a,1,1
230110,male,53,incomplete_fund,0.609129177,,b,0.321814591,0,1,0,4,a,1,0
230110,female,30,medio,0.749967829,,b,0.927305764,1,1,NA,2,a,0,1
230110,female,33,fund,0.315304977,a,,0.583963164,1,2,0,6,a,0,1
230110,male,77,incomplete_fund,0.493873343,b,,0.496712905,0,1,0,3,b,0,0
230810,female,29,medio,0.784422592,,b,0.623915172,1,2,0,6,b,1,1
230810,female,72,incomplete_fund,0.788990364,,b,0.596351204,1,0,NA,5,a,1,1
230110,female,39,medio,0.222801297,dont_know,,0.022205979,0,2,0,5,a,0,0
230810,female,42,complete_univ,0.259218621,b,,0.439496334,0,1,0,6,a,1,1
230110,female,51,incomplete_fund,0.570769966,,b,0.198806488,0,1,0,6,a,1,1
230810,female,70,fund,0.582402866,,a,0.163605729,0,1,0,3,b,1,1
230810,female,63,incomplete_fund,0.25508965,a,,0.254618839,0,0,1,2,a,1,1
230810,female,21,incomplete_univ,0.285972761,a,,0.99423508,1,1,1,3,a,0,0
230810,male,62,incomplete_fund,0.278517314,a,,0.404258803,0,1,0,4,a,0,1
230810,male,78,no_educ,0.490623749,b,,0.410701534,0,0,0,6,a,0,0
230110,male,50,fund,0.730164364,,b,0.24571095,0,1,NA,1,a,1,1
230810,male,25,medio,0.610041223,,b,0.351048485,0,0,0,6,b,0,0
230110,female,23,medio,0.845472372,,b,0.606857498,1,1,1,2,b,0,0
230810,male,71,fund,0.332137575,a,,0.966295153,1,1,0,3,b,1,0
230110,female,35,complete_univ,0.120673658,a,,0.408901618,0,2,0,1,a,1,1
230810,male,18,medio,0.642549617,,a,0.500618532,1,1,0,1,b,1,0
231200,female,57,incomplete_fund,0.770512003,,a,0.494780004,0,1,0,5,b,1,1
231200,female,37,incomplete_fund,0.214550318,b,,0.299151172,0,2,0,584,a,0,1
230110,female,65,incomplete_fund,0.274101868,a,,0.23844099,0,1,0,3,b,1,1
230810,female,25,medio,0.868396087,,b,0.143172844,0,1,0,6,b,1,0
231200,male,NA,incomplete_fund,0.888409704,,a,0.270974769,0,2,0,3,a,0,1
230110,female,41,medio,0.905245717,,b,0.308646503,0,1,0,1,a,0,1
231200,female,57,incomplete_fund,0.703583087,,a,0.039041651,0,1,1,1,b,1,1
230110,male,47,medio,0.197595016,dont_know,,0.62341364,1,2,1,6,a,0,0
231200,female,19,fund,0.785539725,,b,0.97121496,1,1,NA,6,a,0,1
230810,female,46,incomplete_fund,0.660528868,,a,0.117367869,0,1,0,1,b,0,0
230110,female,20,medio,0.456084083,b,,0.638242004,1,0,NA,4,a,0,1
231200,male,48,incomplete_medio,0.101540962,b,,0.661875621,1,4,0,3,a,1,0
231200,male,27,medio,0.867823753,,a,0.401787886,0,3,0,4,b,1,0
230110,male,34,incomplete_medio,0.170587129,a,,0.78819883,1,2,0,2,b,0,0
230110,female,33,fund,0.119798422,a,,0.671557088,1,1,0,6,a,1,1
230810,female,45,incomplete_fund,0.757042126,,b,0.934445248,1,2,0,4,b,1,0
230110,female,32,medio,0.606957244,,b,0.563769016,1,1,1,1,a,0,1
230710,female,39,incomplete_fund,0.065883886,a,,0.714521589,1,1,0,6,a,0,0
230110,male,42,incomplete_fund,0.345237902,b,,0.326072704,0,1,0,2,a,0,1
230710,female,58,medio,0.031412478,a,,0.210991425,0,1,1,2,a,1,1
230710,female,42,incomplete_fund,0.454638109,b,,0.102375721,0,1,0,3,a,0,0
230710,female,87,fund,0.757912781,,a,0.282218262,0,1,0,3,a,1,0
230710,female,56,medio,0.23591945,a,,0.926377145,1,1,0,5,a,0,1
230710,female,72,medio,0.928130816,,b,0.977760156,1,1,0,3,a,1,0
230710,female,33,medio,0.16NA7569206849,a,,0.683574014,1,1,0,6,a,0,0
230710,female,52,incomplete_fund,0.180859271,a,,0.119696384,0,1,0,1,a,0,0
230710,female,31,medio,0.506982495,,b,0.457769605,0,1,0,5,b,1,1
230710,female,39,incomplete_fund,0.997307193,,a,0.93369527,1,1,0,4,b,1,0
230710,female,58,medio,0.184913959,a,,0.71129644,1,1,1,1,a,0,1
230710,male,46,incomplete_fund,0.500640703,,b,0.150568541,0,0,1,4,b,1,0
230710,female,66,no_educ,0.297188724,a,,0.604421601,1,1,0,2,a,1,1
230710,female,32,medio,0.516583387,,b,0.042693703,0,1,0,3,a,1,1
230710,male,29,medio,0.683350631,,b,0.061198598,0,2,0,5,b,1,1
230710,male,28,incomplete_fund,0.209575393,b,,0.071752619,0,1,0,2,b,1,0
230710,female,46,medio,0.794015238,,b,0.158302057,0,2,1,6,a,0,0
230710,male,49,no_educ,0.925301084,,dont_know,0.927244378,1,1,1,4,dont_know,0,0
230810,female,41,incomplete_fund,0.465451449,b,,0.815685144,1,0,0,6,b,1,1
230630,female,38,incomplete_fund,0.602274167,,b,0.482959101,0,1,0,131,a,0,0
230110,female,26,medio,0.052378048,a,,0.529275342,1,2,0,2,b,1,1
231200,female,37,incomplete_fund,0.260461619,a,,0.558136982,1,1,0,5,a,1,0
230710,female,54,incomplete_fund,0.721692208,,b,0.69354448362NA4,1,1,0,1,a,1,0
230710,female,47,medio,0.159162999,a,,0.070483154,0,1,1,6,a,1,1
230110,female,40,medio,0.198306859,a,,0.940873105,1,1,1,4,a,0,0
230110,male,44,fund,0.105689381,b,,0.093916852,0,2,0,2,b,0,0
230630,female,20,medio,0.187157455,a,,0.423618998,0,1,0,2,b,1,1
230710,female,37,medio,0.11461557,b,,0.070658364,0,2,1,2,b,1,1
231200,female,41,medio,0.151384448,b,,0.86455099,1,2,0,4,b,1,1
231200,female,51,incomplete_fund,0.829597745,,b,0.74376264,1,1,NA,3,b,1,1
231200,female,52,incomplete_fund,0.53385992,,b,0.919059331,1,2,1,1,a,0,0
230110,female,29,fund,0.893321768,,b,0.559182629,1,1,0,1,b,1,1
231200,male,68,incomplete_fund,0.514304856,,a,0.890716182990NA,1,1,0,5,b,0,0
230630,female,37,fund,0.46143694,a,,0.137504672,0,1,NA,3,a,1,1
230710,female,53,fund,0.50541126,,b,0.801985937,1,1,0,4,a,0,0
230110,female,47,incomplete_fund,0.23114439,a,,0.959163454,1,2,0,3,b,0,1
230710,female,30,medio,0.116604049,a,,0.299033986,0,2,1,4,a,1,0
230710,female,38,incomplete_fund,0.386518125,b,,0.208008558,0,1,0,1,a,1,0
230710,female,30,incomplete_medio,0.278072376,a,,0.315123846,0,1,0,3,a,1,0
230630,female,50,incomplete_fund,0.916641372,,b,0.100352341,0,1,1,6,b,0,1
230110,female,55,incomplete_univ,0.657193605,,b,0.015081433,0,1,0,4,a,1,0
230110,male,30,incomplete_medio,0.493828443,dont_know,,0.176123824,0,2,1,4,b,0,1
231200,female,29,incomplete_fund,0.232062895,b,,0.328543883,0,1,NA,3,b,0,1
230710,female,30,medio,0.680659566,,b,0.714527844,1,1,0,2,b,1,0
230710,female,67,incomplete_fund,0.938881603,,b,0.015070748,0,1,NA,1,b,0,0
230630,female,18,fund,0.06815264,a,,0.521830848,1,2,0,6,a,1,1
230110,female,18,medio,0.158776898,b,,0.655471411,1,1,0,2,b,1,1
230630,male,27,medio,0.504404164,,b,0.531104609,1,3,1,4,a,1,0
230630,female,35,fund,0.075725204,a,,0.654140437,1,1,0,3,a,1,1
230630,male,46,no_educ,0.213287157,a,,0.523760042,1,0,0,2,a,0,1
230110,female,61,no_educ,0.362123091,a,,0.183684129,0,1,0,6,b,0,0
230710,female,26,fund,0.87198127,,b,0.198378035,0,1,0,3,a,1,0
230110,male,33,medio,0.0867434951NA626,dont_know,,0.346351978,0,1,0,4,dont_know,1,1
230630,female,21,medio,0.287030252,b,,0.315165501,0,1,0,4,b,1,0
230710,female,39,incomplete_fund,0.516996722,,b,0.78913745,1,2,0,1,a,0,0
230110,male,55,incomplete_fund,0.601566696,,b,0.78430271,1,2,0,4,b,0,1
230630,female,58,incomplete_fund,0.616106566,,b,0.950079978,1,3,0,4,b,1,0
231200,female,29,medio,0.196273483,b,,0.208991723,0,1,0,6,a,0,1
230710,male,26,incomplete_fund,0.231981863,a,,0.98337445,1,1,0,5,a,1,0
230710,female,27,medio,0.301135691,a,,0.381088784,0,1,NA,6,b,0,0
230630,female,60,incomplete_fund,0.948274544,,b,0.675575548,1,1,0,1,a,0,0
230630,female,23,incomplete_medio,0.244750144,a,,0.70777692,1,1,0,3,a,1,1
230310,male,65,incomplete_fund,0.31957649,a,,0.302016986,0,2,0,1,b,0,1
230310,male,33,complete_univ,0.570029451,,b,0.289850535,0,1,0,6,b,1,1
230110,female,26,incomplete_fund,0.239296552,a,,0.33300062,0,1,0,6,b,0,1
230110,female,23,medio,0.587597653,,b,0.77117118,1,1,0,3,b,1,0
231200,female,64,incomplete_fund,0.635854769,,a,0.551297079,1,1,0,5,a,1,0
230110,male,68,no_educ,0.672938981,,b,0.275736653,0,1,1,3,a,1,1
230110,female,55,incomplete_fund,0.069700388,a,,0.504322393,1,1,0,6,a,1,1
230110,male,46,incomplete_fund,0.602672392,,b,0.949985348,1,1,0,3,a,1,0
230110,male,25,medio,0.6383458,,b,0.228161043,0,1,0,3,a,0,1
231200,female,67,no_educ,0.429788826,b,,0.118959419,0,1,1,1,b,1,0
230630,female,59,incomplete_fund,0.20301996,a,,0.602687486,1,1,0,3,dont_know,1,1
230110,female,38,incomplete_fund,0.87530676,,b,0.294355374,0,1,1,1,b,0,0
230110,female,27,incomplete_fund,0.517834579,,b,0.742801899,1,1,0,5,a,0,0
230630,female,54,incomplete_fund,0.456819784,a,,0.927156591,1,1,1,3,a,1,1
230110,male,29,medio,0.270722653,a,,0.80373145,1,2,NA,2,a,0,0
230630,male,61,no_educ,0.501478849,,b,0.649400194,1,1,0,3,a,0,1
230710,female,46,medio,0.828958612,,b,0.918086204,1,1,0,3,a,0,1
230710,female,45,medio,0.298353576,a,,0.575383896,1,2,NA,1,a,0,1
230630,female,32,incomplete_fund,0.144738838,a,,0.733805585,1,2,0,3,a,0,1
230630,female,37,medio,0.596482744,,b,0.168432633,0,2,0,2,b,1,0
230630,male,59,incomplete_fund,0.527007689,,b,0.769647634,1,1,0,4,b,1,0
230630,female,56,no_educ,0.006182539,a,,0.256813576,0,2,0,5,a,1,1
230710,male,47,incomplete_fund,0.906937365,,b,0.36263771,0,1,1,6,a,0,0
230710,female,31,incomplete_univ,0.418430305,a,,0.622059724,1,2,0,1,a,0,1
231200,male,65,no_educ,0.210027138,b,,0.726170037,1,1,NA,2,a,1,1
231200,female,52,no_educ,0.884771673,,a,0.296083095,0,1,1,1,b,1,1
230710,female,39,complete_univ,0.739505132,,b,0.681919325,1,1,0,5,a,0,1
231200,female,49,incomplete_fund,0.04098828,a,,0.793800456,1,1,0,18,a,1,1
231200,male,30,incomplete_fund,0.764637693,,a,0.329309255,0,1,0,2,b,1,1
231200,female,46,incomplete_fund,0.017329404,a,,0.121119713,0,1,0,2,dont_know,1,1
231200,female,65,incomplete_fund,0.00184339,b,,0.525319546,1,1,0,5,b,1,1
231200,male,67,incomplete_fund,0.756506734,,a,0.750568981,1,3,0,1,a,1,0
231200,female,67,medio,0.035923867,a,,0.174778074,0,2,NA,3,b,0,0
231200,male,37,incomplete_fund,0.60658143,,b,0.477381776,0,2,NA,1,a,0,0
231200,male,39,incomplete_fund,0.691806737,,a,0.684555412,1,3,NA,3,b,1,1
230710,female,71,no_educ,0.482868073,a,,0.666850135,1,1,0,3,a,1,1
230310,female,81,no_educ,0.468021749964NA,b,,0.295328601,0,0,0,3,b,1,1
230310,female,45,incomplete_fund,0.656015355,,a,0.735530906,1,1,0,6,a,1,0
230310,female,81,no_educ,0.410449149,a,,0.799398415,1,1,1,3,b,1,1
230310,female,33,complete_univ,0.821372382,,b,0.587630795,1,1,0,4,b,1,0
230310,male,21,incomplete_univ,0.383274771,a,,0.1953NA68642871,1,2,0,1,b,0,0
230310,female,56,no_educ,0.6536064150NA09,,a,0.760924597,1,1,NA,2,a,1,1
230310,male,28,complete_univ,0.71767448,,b,0.766128053,1,2,1,4,b,0,0
230310,female,24,fund,0.335132282,a,,0.771862827,1,1,0,2,a,0,0
230710,female,22,fund,0.892280856,,b,0.39540833,0,1,0,5,b,0,1
230810,male,49,incomplete_fund,0.630618069,,a,0.7892262NA28889,1,0,0,4,a,1,0
230810,female,39,medio,0.823684438,,b,0.989501317,1,2,0,3,a,0,1
230810,female,20,incomplete_univ,0.542409123,,a,0.660163135,1,1,0,2,b,0,0
230810,female,34,fund,0.936294465,,b,0.641925081,1,1,0,5,b,1,0
230810,male,44,incomplete_fund,0.475425645,a,,0.033886708,0,0,1,3,b,0,1
230810,female,35,incomplete_fund,0.592348681,,a,0.579980285,1,0,0,2,b,0,0
230810,female,36,incomplete_fund,0.383632149,a,,0.113357487,0,1,0,4,b,1,0
230810,female,69,incomplete_fund,0.763820153,,a,0.747905782,1,1,0,2,a,0,1
230810,female,29,medio,0.587253167,,b,0.556538523,1,1,0,2,b,0,1
230810,female,50,incomplete_fund,0.589411067,,b,0.675549437,1,0,1,4,a,1,0
230810,female,43,fund,0.413698386,a,,0.608859755,1,1,1,2,b,1,1
230810,female,38,medio,0.48501438,a,,0.681412115,1,1,1,4,a,0,1
230810,male,41,incomplete_medio,0.566344373,,b,0.60985998,1,0,0,2,b,1,1
230810,female,41,incomplete_medio,0.369640408,a,,0.740011668,1,1,1,6,dont_know,0,1
230810,female,82,incomplete_fund,0.819847119,,b,0.304476492,0,0,0,4,b,1,1
230810,female,68,medio,0.869960592,,b,0.749447441,1,0,0,1,a,0,1
230310,female,46,incomplete_fund,0.283818139,a,,0.505048851,1,1,1,2,a,0,1
230310,male,33,medio,0.485005227,a,,0.138136878,0,1,0,2,a,1,0
230310,female,24,incomplete_univ,0.994228973,,b,0.070401187,0,1,0,3,a,1,1
230310,male,32,medio,0.662470261,,a,0.789075031,1,1,NA,6,a,0,1
230310,male,67,incomplete_medio,0.98085744,,b,0.206736219,0,1,0,2,a,1,1
230310,male,22,incomplete_fund,0.820978782,,a,0.248626389,0,2,0,5,a,0,0
230310,female,33,medio,0.044360077,a,,0.543263521,1,1,0,4,a,1,1
230310,male,27,incomplete_univ,0.180843653,a,,0.235424921,0,1,NA,5,a,1,0
230310,female,51,medio,0.922730253,,b,0.468720752,0,1,0,3,b,1,0
