UID,Round,Choice,Profile_Gender,Profile_Caste,Profile_Party,Profile_PG,Profile_Promise,conjoint_choice,respondent_state,respondent_gender,respondent_age,respondent_co_ethnic
ANBG,1,A,Male,OBC,BJP,Bad Roads,Patronage,1,Bihar,male,43,0
ANBG,2,A,Female,OBC,BJP,Bad Roads,Economy,1,Bihar,male,43,0
ANBG,2,B,Female,OBC,BJP,Good Roads,Patronage,0,Bihar,male,43,0
ANBG,1,B,Male,SC,BJP,Good Roads,Patronage,0,Bihar,male,43,1
ANFP,2,B,Female,SC,BJP,Good Roads,Patronage,0,Bihar,male,28,0
ANFP,2,A,Male,Forward,RJD,Good Roads,Economy,1,Bihar,male,28,0
ANFP,1,B,Male,SC,RJD,Good Roads,Patronage,0,Bihar,male,28,0
ANFP,1,A,Female,Forward,BJP,Good Roads,Patronage,1,Bihar,male,28,0
ANPV,2,A,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,56,1
ANPV,1,A,Male,Forward,BJP,Bad Roads,Economy,1,Bihar,male,56,0
ANPV,1,B,Male,OBC,RJD,Good Roads,Economy,0,Bihar,male,56,0
ANPV,2,B,Female,SC,BJP,Good Roads,Patronage,0,Bihar,male,56,1
AOWI,2,A,Female,OBC,JDU,Good Roads,Economy,1,Bihar,female,25,1
AOWI,1,A,Female,OBC,RJD,Bad Roads,Economy,1,Bihar,female,25,1
AOWI,1,B,Female,SC,JDU,Bad Roads,Patronage,0,Bihar,female,25,0
AOWI,2,B,Female,Forward,JDU,Good Roads,Economy,0,Bihar,female,25,0
AOWJ,2,A,Male,Forward,JDU,Bad Roads,Economy,0,Bihar,male,65,0
AOWJ,1,A,Male,Forward,BJP,Bad Roads,Economy,1,Bihar,male,65,0
AOWJ,2,B,Female,SC,RJD,Good Roads,Economy,1,Bihar,male,65,1
AOWJ,1,B,Male,OBC,JDU,Good Roads,Economy,0,Bihar,male,65,0
APHE,1,B,Female,Forward,BJP,Bad Roads,Economy,0,Bihar,male,30,0
APHE,2,A,Female,SC,BJP,Bad Roads,Patronage,0,Bihar,male,30,1
APHE,2,B,Male,OBC,JDU,Good Roads,Economy,1,Bihar,male,30,0
APHE,1,A,Female,Forward,RJD,Bad Roads,Economy,1,Bihar,male,30,0
APMO,1,A,Male,SC,BJP,Good Roads,Patronage,1,Bihar,female,45,1
APMO,2,A,Female,OBC,RJD,Good Roads,Economy,0,Bihar,female,45,0
APMO,2,B,Female,SC,JDU,Good Roads,Economy,1,Bihar,female,45,1
APMO,1,B,Female,Forward,BJP,Good Roads,Patronage,0,Bihar,female,45,0
AQDQ,1,A,Male,SC,BJP,Good Roads,Patronage,1,Bihar,male,55,0
AQDQ,1,B,Male,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,55,0
AQDQ,2,A,Female,Forward,BJP,Bad Roads,Economy,1,Bihar,male,55,0
AQDQ,2,B,Female,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,55,0
AQDS,2,B,Female,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,26,0
AQDS,1,B,Male,Forward,JDU,Good Roads,Economy,0,Bihar,male,26,0
AQDS,2,A,Female,Forward,JDU,Good Roads,Economy,0,Bihar,male,26,0
AQDS,1,A,Male,OBC,BJP,Good Roads,Patronage,0,Bihar,male,26,0
AQGX,1,B,Female,OBC,JDU,Bad Roads,Economy,0,Bihar,female,28,0
AQGX,2,A,Male,Forward,BJP,Bad Roads,Economy,0,Bihar,female,28,0
AQGX,2,B,Male,SC,RJD,Bad Roads,Patronage,1,Bihar,female,28,1
AQGX,1,A,Female,OBC,BJP,Good Roads,Patronage,1,Bihar,female,28,0
ARAW,2,A,Female,OBC,RJD,Bad Roads,Patronage,0,Bihar,male,45,1
ARAW,1,A,Male,Forward,BJP,Bad Roads,Economy,1,Bihar,male,45,0
ARAW,1,B,Male,OBC,RJD,Good Roads,Patronage,0,Bihar,male,45,1
ARAW,2,B,Male,OBC,BJP,Bad Roads,Patronage,1,Bihar,male,45,1
ARGS,2,A,Male,OBC,RJD,Bad Roads,Economy,0,Bihar,male,56,0
ARGS,2,B,Female,Forward,BJP,Bad Roads,Patronage,0,Bihar,male,56,0
ARGS,1,B,Female,SC,RJD,Bad Roads,Economy,0,Bihar,male,56,1
ARGS,1,A,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,male,56,0
ARIJ,1,B,Female,SC,BJP,Good Roads,Economy,0,Bihar,male,21,0
ARIJ,1,A,Male,SC,JDU,Bad Roads,Patronage,1,Bihar,male,21,0
ARIJ,2,A,Male,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,21,0
ARIJ,2,B,Male,SC,RJD,Good Roads,Economy,1,Bihar,male,21,0
ARLQ,2,B,Male,Forward,BJP,Good Roads,Patronage,0,Bihar,male,20,0
ARLQ,1,A,Male,OBC,BJP,Bad Roads,Economy,0,Bihar,male,20,1
ARLQ,1,B,Male,SC,RJD,Good Roads,Patronage,1,Bihar,male,20,0
ARLQ,2,A,Female,OBC,RJD,Good Roads,Patronage,1,Bihar,male,20,1
ARRB,2,A,Female,SC,RJD,Good Roads,Economy,1,Bihar,female,72,0
ARRB,1,B,Male,SC,BJP,Bad Roads,Economy,0,Bihar,female,72,0
ARRB,2,B,Male,Forward,BJP,Bad Roads,Economy,0,Bihar,female,72,0
ARRB,1,A,Male,OBC,BJP,Good Roads,Patronage,1,Bihar,female,72,1
ASAQ,1,B,Male,Forward,JDU,Bad Roads,Economy,0,Bihar,female,38,1
ASAQ,1,A,Female,Forward,JDU,Good Roads,Patronage,1,Bihar,female,38,1
ASAQ,2,A,Male,Forward,BJP,Bad Roads,Patronage,1,Bihar,female,38,1
ASAQ,2,B,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,female,38,0
ASKE,2,B,Female,OBC,BJP,Bad Roads,Economy,0,Bihar,male,35,1
ASKE,1,A,Male,OBC,JDU,Bad Roads,Patronage,1,Bihar,male,35,1
ASKE,2,A,Male,SC,RJD,Good Roads,Economy,1,Bihar,male,35,0
ASKE,1,B,Male,SC,JDU,Bad Roads,Patronage,0,Bihar,male,35,0
ASUH,2,A,Female,OBC,JDU,Bad Roads,Economy,0,Bihar,male,28,0
ASUH,1,B,Male,OBC,BJP,Bad Roads,Economy,0,Bihar,male,28,0
ASUH,1,A,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,28,1
ASUH,2,B,Female,Forward,BJP,Good Roads,Economy,1,Bihar,male,28,0
ATPX,2,A,Male,OBC,RJD,Good Roads,Patronage,1,Bihar,male,45,1
ATPX,1,A,Male,SC,RJD,Bad Roads,Economy,0,Bihar,male,45,0
ATPX,1,B,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,45,1
ATPX,2,B,Female,SC,RJD,Good Roads,Economy,0,Bihar,male,45,0
ATQK,1,B,Female,OBC,BJP,Bad Roads,Economy,1,Bihar,female,38,1
ATQK,1,A,Male,SC,JDU,Bad Roads,Economy,0,Bihar,female,38,0
ATQK,2,A,Male,Forward,RJD,Good Roads,Economy,1,Bihar,female,38,0
ATQK,2,B,Male,SC,RJD,Bad Roads,Patronage,0,Bihar,female,38,0
AUCB,2,A,Female,SC,JDU,Bad Roads,Patronage,0,Bihar,female,45,1
AUCB,2,B,Male,Forward,RJD,Bad Roads,Patronage,1,Bihar,female,45,0
AUCB,1,A,Male,SC,RJD,Bad Roads,Patronage,1,Bihar,female,45,1
AUCB,1,B,Female,OBC,JDU,Good Roads,Economy,0,Bihar,female,45,0
AUCE,1,B,Female,SC,BJP,Good Roads,Economy,0,Bihar,female,35,1
AUCE,2,B,Female,Forward,BJP,Good Roads,Economy,1,Bihar,female,35,0
AUCE,1,A,Male,SC,RJD,Good Roads,Patronage,1,Bihar,female,35,1
AUCE,2,A,Female,SC,JDU,Bad Roads,Patronage,0,Bihar,female,35,1
AULL,1,A,Female,OBC,BJP,Good Roads,Economy,1,Bihar,male,80,1
AULL,2,A,Male,OBC,BJP,Good Roads,Economy,1,Bihar,male,80,1
AULL,1,B,Female,Forward,RJD,Bad Roads,Patronage,0,Bihar,male,80,0
AULL,2,B,Male,SC,JDU,Bad Roads,Patronage,0,Bihar,male,80,0
AUNO,1,B,Male,SC,JDU,Bad Roads,Economy,1,Bihar,male,22,0
AUNO,2,B,Male,Forward,RJD,Bad Roads,Economy,0,Bihar,male,22,0
AUNO,1,A,Female,Forward,JDU,Bad Roads,Economy,0,Bihar,male,22,0
AUNO,2,A,Female,OBC,RJD,Bad Roads,Patronage,1,Bihar,male,22,1
AUPW,1,B,Female,SC,RJD,Good Roads,Economy,0,Bihar,female,35,0
AUPW,2,B,Male,SC,JDU,Bad Roads,Patronage,0,Bihar,female,35,0
AUPW,2,A,Male,OBC,BJP,Good Roads,Patronage,1,Bihar,female,35,1
AUPW,1,A,Female,OBC,JDU,Bad Roads,Patronage,1,Bihar,female,35,1
AVOX,1,A,Male,OBC,RJD,Good Roads,Patronage,1,Bihar,female,25,0
AVOX,2,B,Male,Forward,BJP,Bad Roads,Patronage,0,Bihar,female,25,0
AVOX,2,A,Female,OBC,BJP,Bad Roads,Patronage,1,Bihar,female,25,0
AVOX,1,B,Male,Forward,RJD,Bad Roads,Patronage,0,Bihar,female,25,0
AVRN,1,A,Female,OBC,RJD,Bad Roads,Economy,0,Bihar,female,35,1
AVRN,2,A,Male,Forward,BJP,Good Roads,Patronage,0,Bihar,female,35,0
AVRN,2,B,Male,OBC,BJP,Bad Roads,Patronage,1,Bihar,female,35,1
AVRN,1,B,Male,OBC,RJD,Good Roads,Patronage,1,Bihar,female,35,1
AVUF,1,A,Female,OBC,RJD,Good Roads,Economy,0,Bihar,male,34,0
AVUF,2,B,Male,OBC,RJD,Bad Roads,Economy,0,Bihar,male,34,0
AVUF,2,A,Male,OBC,RJD,Good Roads,Patronage,1,Bihar,male,34,0
AVUF,1,B,Male,Forward,RJD,Good Roads,Patronage,1,Bihar,male,34,0
AWFI,2,B,Female,Forward,RJD,Bad Roads,Patronage,1,Bihar,female,53,0
AWFI,1,A,Male,OBC,JDU,Bad Roads,Economy,1,Bihar,female,53,0
AWFI,2,A,Female,OBC,JDU,Bad Roads,Economy,0,Bihar,female,53,0
AWFI,1,B,Male,Forward,JDU,Good Roads,Patronage,0,Bihar,female,53,0
AWXF,1,A,Female,SC,RJD,Good Roads,Patronage,1,Bihar,male,40,1
AWXF,1,B,Male,SC,JDU,Good Roads,Patronage,0,Bihar,male,40,1
AWXF,2,A,Male,OBC,RJD,Good Roads,Patronage,0,Bihar,male,40,0
AWXF,2,B,Female,OBC,JDU,Good Roads,Economy,1,Bihar,male,40,0
AXDN,1,B,Female,SC,RJD,Bad Roads,Economy,0,Bihar,male,41,0
AXDN,2,B,Male,Forward,BJP,Good Roads,Patronage,1,Bihar,male,41,0
AXDN,1,A,Female,Forward,RJD,Good Roads,Economy,1,Bihar,male,41,0
AXDN,2,A,Male,OBC,RJD,Bad Roads,Economy,0,Bihar,male,41,1
AXOR,2,A,Male,OBC,JDU,Good Roads,Patronage,1,Bihar,male,32,0
AXOR,2,B,Male,Forward,BJP,Bad Roads,Economy,0,Bihar,male,32,1
AXOR,1,B,Female,SC,JDU,Bad Roads,Patronage,0,Bihar,male,32,0
AXOR,1,A,Male,Forward,BJP,Bad Roads,Economy,1,Bihar,male,32,1
AXSG,1,A,Male,Forward,JDU,Bad Roads,Patronage,0,Bihar,male,55,0
AXSG,2,B,Male,OBC,JDU,Bad Roads,Patronage,0,Bihar,male,55,1
AXSG,2,A,Female,SC,BJP,Good Roads,Patronage,0,Bihar,male,55,0
AXSG,1,B,Female,OBC,BJP,Good Roads,Economy,0,Bihar,male,55,1
AXXS,2,B,Male,OBC,RJD,Good Roads,Economy,0,Bihar,male,60,1
AXXS,1,B,Female,SC,RJD,Bad Roads,Patronage,0,Bihar,male,60,0
AXXS,2,A,Male,Forward,RJD,Good Roads,Patronage,1,Bihar,male,60,0
AXXS,1,A,Female,OBC,RJD,Good Roads,Economy,1,Bihar,male,60,1
AYDQ,1,A,Female,Forward,BJP,Bad Roads,Patronage,0,Bihar,male,40,0
AYDQ,1,B,Male,SC,JDU,Good Roads,Economy,1,Bihar,male,40,0
AYDQ,2,A,Female,OBC,JDU,Bad Roads,Economy,0,Bihar,male,40,1
AYDQ,2,B,Female,Forward,JDU,Bad Roads,Economy,1,Bihar,male,40,0
AYEM,1,B,Female,OBC,JDU,Bad Roads,Patronage,0,Bihar,male,32,0
AYEM,1,A,Female,SC,JDU,Good Roads,Patronage,1,Bihar,male,32,1
AYEM,2,B,Female,OBC,BJP,Bad Roads,Patronage,0,Bihar,male,32,0
AYEM,2,A,Male,OBC,BJP,Good Roads,Patronage,1,Bihar,male,32,0
AYNC,1,B,Female,OBC,JDU,Good Roads,Patronage,1,Bihar,male,32,0
AYNC,2,A,Male,Forward,RJD,Good Roads,Economy,0,Bihar,male,32,1
AYNC,2,B,Female,SC,RJD,Bad Roads,Patronage,1,Bihar,male,32,0
AYNC,1,A,Male,SC,JDU,Good Roads,Economy,0,Bihar,male,32,0
AYRB,2,A,Male,Forward,JDU,Good Roads,Patronage,0,Bihar,female,40,0
AYRB,2,B,Female,OBC,BJP,Bad Roads,Patronage,1,Bihar,female,40,1
AYRB,1,B,Male,Forward,BJP,Good Roads,Patronage,0,Bihar,female,40,0
AYRB,1,A,Male,Forward,JDU,Good Roads,Patronage,1,Bihar,female,40,0
BADK,2,A,Female,OBC,BJP,Good Roads,Patronage,1,Bihar,male,61,0
BADK,1,B,Male,Forward,RJD,Bad Roads,Economy,0,Bihar,male,61,0
BADK,1,A,Male,OBC,RJD,Bad Roads,Economy,1,Bihar,male,61,0
BADK,2,B,Male,Forward,BJP,Good Roads,Patronage,0,Bihar,male,61,0
BASB,2,A,Male,OBC,JDU,Bad Roads,Patronage,0,Bihar,male,30,1
BASB,1,B,Female,SC,JDU,Bad Roads,Economy,1,Bihar,male,30,0
BASB,1,A,Female,Forward,JDU,Bad Roads,Patronage,0,Bihar,male,30,0
BASB,2,B,Female,Forward,RJD,Bad Roads,Patronage,1,Bihar,male,30,0
